degree_title,degree_course_type,degree_course_code,activated_in,year_of_degree_course_structure,classes_(ministerial_field_of_study_codes),degree_issued,branch,language,degree_course_tracks,degree_programme_regulations,degree_description,class_(ministerial_field_of_study_code),intra-university_with
Astrophysics And Cosmology,Second cycle degree D.M. 270/2004,SC2490,2019/20,2019/20,LM-17 - Physics LM-58 - Universe sciences,Not mentioned.,Padova,English,"""THEORY AND MODELLING"" [001PD] ""OBSERVATIONS, EXPERIMENTS AND INTERPRETATION"" [002PD]","Regulations Rector's decree and regulations, issued on 09/11/2023 with RD n. 4518/2023 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe master degree in Astrophysics and Cosmology aims at providing students with a comprehensive, up-to-date view of the main fields of modern astrophysics, including astronomical detectors and techniques, black holes and neutron stars, cosmology, gravitational physics, planets, stars and galaxies. Particular emphasis is placed on a solid background in physics and on the growing ties among astrophysics and different branches of physics (theoretical and experimental particle physics, detector physics, nuclear physics) in the coming era of multi-messenger observations.\nMaster graduates in Astrophysics and Cosmology will gain a detailed working knowledge of astrophysics both on the theoretical and observational sides. The final thesis (42 ECTS, approximately six months full time) will put the student in direct contact with an advanced research topic, enhancing his/her ability to carry out autonomous work. This will be key for either a successful continuation to a PhD in Astrophysics or in Physics, or to a job in the industrial or service sectors based on novel technologies.\n\nOccupational opportunities\nJob opportunities for graduates in Astrophysics and Cosmology include:\n- coordinator or member of research groups at universities and public or private research institutions;\n- employment in industries with a technological profile (in particular space, optics, microelectronics, telecommunications, information technology);\n- employment in sectors that require skills in modelling, testing, and interpreting large and complex data sets, such as consulting companies, research centers and public administration;\n- high-level teaching and/or dissemination of scientific culture, with particular reference to various theoretical, experimental and applicative aspects of classical and modern physics, astrophysics and cosmology.",Not mentioned.,Not mentioned.
Health Biology,Second cycle degree D.M. 270/2004,SC2751,2023/24,2023/24,Not mentioned.,Not mentioned.,Padova,Italian,Common track,"Regulations Rector's decree and regulations, issued on 15/05/2023 with RD n. 2041/2023 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe Master's degree completes the training in the field of biological sciences which began with the bachelor's degree in Molecular Biology. The aim of this Master degree course is to shape experts with an advanced practical training in the field of Biomedical Sciences together with an in-depth knowledge of instrument management, analytical procedures and the methodology involved in data acquisition and analysis. The degree course imparts a thorough command of the scientific investigation process, providing graduates with the competence to work independently and to take on the responsibility of projects and/or organizations. The proposed learning path is characterized by a strong basic preparation on physiopathology, microbiology and pharmacology, with elements of hygiene and data management, using informatics and statistics. The theoretical preparation is accompanied by a particularly intense experience with applications. On the second year, two thirds of the student's effort will be concentrated on the preparation of the thesis. The objective is to give the student the opportunity to gain a considerable experience on laboratory experimental work and to acquire the cultural tools as well as the capacity of critical analysis, which are required to perform research activities and to take responsibilities of projects and/or organizations.\n\nOccupational opportunities\nThe Master's degree in Health Biology prepares specialists in theoretical and practical studies in the field of Biomedical Sciences. In particular this course gives a suitable preparation to do research in private and public structures in the field of Biomedical Sciences. After the master in Health Biology the graduate can find a professional occupation with a role of responsibility in laboratories of food, genetics, histology and molecular analysis, in the private or public sector. Moreover, he/she can be employed or be a consultant in professional activities and development of projects within the public administration in the health service and in the sector of public hygiene. On passing the relevant State examination, the Molecular Biology Master's graduate may enroll in the Biologists' professional register (section A), which entitles to the warranted activities, under the title of Biologist.",LM-6 - Biology,Not mentioned.
Industrial Biotechnology,Second cycle degree D.M. 270/2004,SC1731,2009/10,2014/15,Not mentioned.,Not mentioned.,Padova,Italian,Common track,"Regulations Rector's decree and regulations, issued on 25/05/2022 with RD n. 2122/2022 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe Master's Degree aims to train specialists in the most advanced sectors of industrial biotechnology, such as the production and use of recombinant enzymes and proteins from prokaryotic and eukaryotic cells, including the design of antibodies and vaccines in animal and plant organisms. To this goal contribute the teachings of molecular synthetic biotechnology, immunological biotechnology, large-scale cell cultures and biomolecules production.\nProfessional figures are formed that can design and manipulate nanosystems for biological purposes (transfections, imaging, drug carriers) and to analyze protein structure and function and the interaction of proteins with potential drugs. This is achieved through teachings such as protein structure, which includes both biocrystallography and protein NMR, computational synthetic biotechnology, nanosystems, and nanobiotechnology.\nThe teachings of computational synthetic biotechnology and structural and functional genomics are dedicated to the training of researchers and technicians specializing in computer methods for the analysis of the genome and the proteome, a specially developed sector at Cribi (Interdepartmental Research Center for Innovative Biotechnologies), with which some teachers of biotechnology courses collaborate.\nThe teachings of chemical biotechnology, environmental biotechnology and bioenergy production and environmental toxicology contribute to form professional figures able to utilize the potential of biotechnology to propose solutions for the recovery of polluted environments and the exploitation of renewable sources for energy and chemicals.\nStarting in the A.A. 2014/15, an elective course named 'Start-up in life sciences' has been launched; it provides basic tools to start an entrepreneurial project or to undertake a technical or managerial career within an enterprise.\n\nOccupational opportunities\nThe Master's Degree in Industrial Biotechnology prepares graduates with specialization in industrially applicable biotechnology disciplines: they can engage in research activities in industries involved in the production of technological platforms for functional genomics and proteomics, in the production of recombinant proteins, enzymes, and antibodies and in the design of nanosystems for biotechnological applications. They will also find employment in public and private facilities for environmental control and recovery. The main potential employers are bio-tech, chemical, chemical-pharmaceutical, and food companies.",LM-8 - Industrial Biotechnologies,Not mentioned.
Chemistry,Second cycle degree D.M. 270/2004,SC1169,2008/09,2018/19,Not mentioned.,Not mentioned.,Padova,Italian,"""CHIMICA"" [001PD] ""CHEMISTRY"" [002PD] ""COMPLEX AND DATA DRIVEN CHEMISTRY"" [003PD]","Regulations Rector's decree and regulations, issued on 20/04/2021 with RD n. 1438/2021 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe course forms graduates with solid cultural preparation in the main areas of Chemistry, adequate preparation to deal competently and autonomously with both professional activities and academic and industrial research. The training course includes three curricula: Chimica and Chemistry, and Complex and Data Driven Chemistry. The curricula Chimica and Chemistry differ in the possibility to acquire just the Italian master title, or a double degree including the Italian title and the Master of Science in Chemistry from the 'Justus Liebig University Giessen' of Giessen, Germany, respectively. Up to 5 students, chosen on the base of their accomplishments, can enroll each academic year in the Curriculum Chemistry.\nBoth Curricula include a first set of compulsory courses in fundamental chemical sciences with the aim of completing the undergraduate level knowledge and introducing the student to the most advanced state of the art contents. Subsequently, the student chooses a specific field of specialization by selecting optional courses within a list of advanced courses for a total of 24 ECTS. In this way the students will be able to follow a specific training course built on the basis of their cultural and professional interests.\nThe Curriculum Chimica is completed with some free choice courses and with a final exam in the form of an experimental thesis to be held at the university or at companies and external bodies.\nIn the Curriculum Chemistry the student will spend the first semester of the second year at the partner University and to get the double degree title she/he must acquire 30 CFU at the partner University. The studies are then completed with a final exam in the form of an experimental thesis, which can be carried out both in Italy or at the partner University by extending of one semester the stay abroad.\nThe Curriculum Complex and Data Driven Chemistry, in English, will provide chemistry students with the competences to study complex chemical systems in different areas of chemistry (catalysis, materials, synthesis) and with the tools to collect, analyse, and exploit large chemical data sets (statistical learning, chemomoetrics, machine learning). Unlike previous curricula, this is a structured course: in the first-year all teaching units (60 ECTS) are compulsory, and only in the second year students will choose teachings for 12 ECTS and develop their interests with a laboratory internship at a research group in the department. The final examination, in the form of an experimental thesis, may take place at the university or external companies and institutions.\n\nOccupational opportunities\nThe Master Degree in Chemistry allows one to engage in research, production and control activities in public and private facilities. The main employment opportunities are in the industry (chemical, pharmaceutical, food, cosmetics, paper, tanning, electrochemistry and manufacturing in general), in analysis laboratories, in the areas of health, energy and cultural heritage conservation. The opportunities offered by the freelance profession are also expanding, especially in the areas of analysis, control and validation, environmental protection and civil protection. The Master Degree also provides access to the doctoral school in Molecular Sciences after an admission exam.",LM-54 - Chemistry,Not mentioned.
Industrial Chemistry,Second cycle degree D.M. 270/2004,SC1170,2008/09,2015/16,Not mentioned.,Not mentioned.,Padova,Italian,Common track,"Regulations Rector's decree and regulations, issued on 20/04/2021 with RD n. 1438/2021 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThis course provides the student with a solid scientific background in various fields of chemistry, focusing particularly on the technological aspects characterizing the industrial world. The theoretical and laboratory teachings of industrial chemistry and chemical plants, together with the application-oriented courses in analytical, inorganic, organic and physical chemistry, allow the student to acquire a high level cultural preparation and to master the fundamental principles of an industrial chemical process. Beside this kind of preparation, the student becomes familiar with cultural and technological aspects which will allow him, within an enterprise, to take care of the research as well as of the development of products and processes.\n\nOccupational opportunities\nThe Master Degree in Industrial Chemistry allows one to engage in research, production and control activities in public and private facilities. The main employment opportunities are in the industry (chemical, pharmaceutical, food, cosmetics, paper, tanning, electrochemistry and manufacturing in general), in analysis laboratories and in the health, energy and cultural heritage conservation. The graduate can be involved in innovation processes, management, businness and quality assurance.\nA further perspective is that of industrial advisory activity as a freelancer, taking care of safety and hygiene issues in the workplace. The widespread industrialization and ever-increasing demands for environmental protection and accident prevention are leading an increasing number of industrial chemists to work even in non-chemical companies, both as a freelancer and an employee.\nThe Master Degree in Industrial Chemistry allows also the graduate to enter a PhD program or a II level Master course.",LM-71 - Industrial chemistry,Not mentioned.
Computational Finance,Second cycle degree D.M. 270/2004,SC2737,2023/24,2023/24,Not mentioned.,Not mentioned.,Padova,English,Common track,"Regulations Rector's decree and regulations, issued on 17/04/2023 with RD n. 1660/2023 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nQuantitative methods have deeply transformed the world of finance and insurance. Nowadays, new computational tools and artificial intelligence techniques are bringing revolutionary changes in these sectors. This Master's degree is a cross-disciplinary programme providing a solid expertise in computational and quantitative methods applied to the solution of problems in finance and insurance. Students will be able to master the techniques for analysing, modelling and managing financial risks, combining knowledge and competencies in economics, mathematics, statistics and informatics.\n\nOccupational opportunities\nGraduates in Computational Finance have a good command of computational and quantitative techniques, aligned with the latest trends of the financial and insurance sectors. Graduates can pursue a wide range of careers in banking, insurance, asset management, energy and consulting firms.",LM-16 - Finance,Not mentioned.
Computer Science,Second cycle degree D.M. 270/2004,SC2598,2021/22,2021/22,Not mentioned.,Not mentioned.,Padova,English,Common track,"Regulations Rector's decree and regulations, issued on 15/05/2023 with RD n. 2043/2023 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe master program strengthens and deepens the cultural background in the fundamental areas of computer science, introduces the most recent and advanced fields of computer science, and provides the basic skills to work in foundational and applied research projects in computational disciplines. The programme is organised in three main study tracks: 'Artificial intelligence', 'Internet, Mobile and Security', 'Programming languages and systems'. Students will build their own study plan choosing among a wide offer of course units in: computability, advanced algorithms, modern programming paradigms, mobile programming and multimedia systems, formal methods for specification and verification, computer and network security, concurrent, distributed and real-time systems, wireless networks, advanced web technologies, artificial intelligence, machine learning, cognitive systems, data mining, bioinformatics, game theory, combinatorial optimization, type theory.\n\nOccupational opportunities\nMaster graduates typically assume managing and leading roles in ICT organizations and may contribute and lead R&D ICT projects in public organizations and private companies. The growth of the ICT job market continues to be very positive, hence the outlook is very promising. The master degree allows to apply to the admission competitions for the PhD programs in Computer Science or related disciplines.",LM-18 - Computer science,Not mentioned.
Cybersecurity,Second cycle degree D.M. 270/2004,SC2542,2020/21,2020/21,Not mentioned.,Not mentioned.,Padova,English,Common track,"Regulations Rector's decree and regulations, issued on 10/06/2020 with RD n. 1904/2020 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe Cybersecurity programme focuses on the study of the design, development and evaluation of secure computer systems, which are also capable of ensuring privacy for future ICT systems. The 2-year study program is characterized by an interdisciplinary offering that collects contributions from computer science, engineering, statistics, legal-economic and organizational sciences, along with specific knowledge of the major application domains of cyberattack protection.\nThis master degree provides for teaching only in English to facilitate integration into an international workplace, and the participation of foreign students and teachers.\nThe purpose of the international Master's programme in Cybersecurity is to train qualified graduates in the field of ICT security. This programme focuses on both the theoretical and practical aspects of cybersecurity, so the students can meet the growing demands of society.\n\nOccupational opportunities\nGraduates will easily find jobs within companies that provide value-added products and services, such as telecom companies, game companies, e-learning, web developers, and the entertainment industry.\nGraduates work as:\n- Cyber Security consultant\n- Security Analyst\n- Cyber Security Specialist\n- Information Security Architect\n- Security Auditor\n- Computer forensics expert\n- Privacy-by-design consultant\nAn entrepreneurial path is also open to those who seek to start their own company to provide product or technology development, media content, business development or consultancy services.",LM-66 - Computer systems safety,Not mentioned.
Data Science,Second cycle degree D.M. 270/2004,SC2738,2023/24,2023/24,Not mentioned.,Not mentioned.,Padova,English,"""Data Science"" [003PD] ""BDMA"" [004PD] (The data are currently being defined) ""TMDS"" [005PD]","Regulations Rector's decree and regulations, issued on 17/04/2023 with RD n. 1660/2023 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe Master's degree intends to build data scientists whose solid technical background is complemented by a multidisciplinary preparation on various fields in which big data emerge. Highly required by industries, consulting companies and public institutions, data scientists design and implement the analysis of big data and provide managers and stakeholders with a clear account of their results.\n\nOccupational opportunities\nGraduates master tools for collecting, managing and analysing big data, and to translate their work into highly valuable information. Graduates work as professionals in research centres, internet companies, consulting companies, startups and high tech industries and public administrations.",LM Data - Data science,Not mentioned.
Environmental Sustainability And Education,Second cycle degree D.M. 270/2004,SC2650,2022/23,2022/23,Not mentioned.,Not mentioned.,Padova,English and Italian,Common track,"Regulations Rector's decree and regulations, issued on 16/05/2022 with RD n. 2002/2022 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe course offers as an ideal continuation of the first level courses of the class 'Science and technology for the environment and nature', by completing the naturalistic training. It provides the student with: i) advanced skills in the system analysis of the natural environment, in all its biotic and abiotic components, and their interactions; ii) a mastery of the scientific method, complemented by specific knowledge for conducting scientific research in the field of natural sciences; iii) a thorough knowledge of the modern instrumentation for data acquisition and statistical and computer techniques for data analysis and storage; iv) principles and techniques of geological, floristic and fauna investigation, methods for setting up environmental impact assessments and techniques of remote sensing and geomorphological survey.\nThe student also acquires principles of modern naturalistic museology and the fundamental concepts of modern teaching of natural sciences. All this is in combination with a high level scientific and practical preparation.\n\nOccupational opportunities\nLife science specialists, biologists, botanists and zoologists can i) carry out natural resource census activities, ii) design and implement monitoring plans, impact assessment, recovery and management of natural or semi-natural environments, iii) draft thematic charts (either, biological or abiological), iv) organize and direct of scientific museums, aquaria, botanical gardens and natural parks, v) perform activities related to naturalistic and environmental education, such as the realization of educational materials - including multimedia support - for schools, universities, museums, parks, aquaria and botanical gardens, the design and management of naturalistic itineraries, the dissemination of environmental and naturalistic knowledge.",LM-60 - Natural sciences,Not mentioned.
Evolutionary Biology,Second cycle degree D.M. 270/2004,SC2810,2024/25,2024/25,Not mentioned.,Not mentioned.,Padova,English,Common track,"Regulations Rector's decree and regulations, issued on 29/05/2024 with RD n. 2149/2024 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe master degree will complete the three-year Biology degree, providing up-to-date knowledge about biodiversity, and including theoretical and applicative aspects. The student will be able to apply these knowledges to management and conservation of biological resources.\nThe courses will allow the student to acquire expertise and skills in methods for the study of biodiversity and its conservation. In addition, after completion of the master, the student can sustain the state qualification test for being a professional biologist in Italy (Albo dei Biologi. Sez. A).\n\nOccupational opportunities\nThe formation obtained thanks to the Evolutionary Biology master allows reaching leadership roles in public and private institutions devoted to the safeguard, enhancement and management of the environment and biological resources. In addition, it will be possible to be employed in the field of environmental education/outreach and in research institutions. It will also possible, to act as consultants in environmental impact assessments, in projects of responsible management of natural resources, in restocking plans, and to perform research in universities, public and private research institutions and industries.",LM-6 - Biology,Not mentioned.
