degree_title,degree_course_type,degree_course_code,activated_in,year_of_degree_course_structure,classes_(ministerial_field_of_study_codes),degree_issued,branch,language,degree_course_tracks,degree_programme_regulations,degree_description,class_(ministerial_field_of_study_code),intra-university_with
Environmental Geology And Earth Dynamics,Second cycle degree D.M. 270/2004,SC2597,2021/22,2021/22,Not mentioned.,Not mentioned.,Padova,English and Italian,"""Geologia applicata alla difesa del suolo e dell’ambiente"" [001PD] ""Earth Dynamics"" [002PD]","Regulations Rector's decree and regulations, issued on 04/05/2021 with RD n. 1642/2021 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe Master' Degree course in Environmental Geology and Earth Dynamics provides the cultural tools and skills necessary to carry out worldwide professional and research work in all fields of geology. Through significant experimental field and laboratory work, students are encouraged to develop autonomous skills of critical analysis, decision-making and interdisciplinary vision that are of fundamental importance in the professional practice of the geologist. This Master's Degree is the ideal continuation for students who, after the Bachelor's Degree, intend to move towards the freelance profession of geologist or work as employees with responsibility and management positions in various sectors of industry and services, in public and private agencies, and in the public administration.\nThe Master's Degree course is organized in two study tracks, each one providing specific skills within the framework of the broad profession of geologist.\nThe study track in Geologia Applicata alla Difesa del Suolo e dell'Ambiente (delivered mostly in Italian) focuses on the engineering geology. It provides the students with theoretical background and practical skills on the study, monitoring and modeling of slope stability, the retrieval and quantification of groundwater resources, soil and subsoil pollution and remediation, geological project design for soil and environmental protection, application of geological and remote sensing techniques for the assessment of geological instability and hazard, analytical methods of geomaterials for industrial applications.\nThe study track in Earth Dynamics, delivered in English, combines a thorough study of the dynamics and evolutionary processes of the Earth with the application of the most advanced techniques of acquisition, processing, analysis and representation of geological data. Geodynamics, mineralogical and petrological processes of the deep Earth are addressed with a multidisciplinary and integrated approach, as well as the surface geomorphological and sedimentary processes and their multiple interactions with the evolution of past life and climates. Insights are provided on earthquake geology and on the prospection and sustainable management of georesources for the energy and mining industry. Skills are acquired on the analytical techniques applied to natural and synthetic geomaterials and the protection and restoration of stone materials, as well as on the application of remote sensing to geosciences. A course entirely dedicated to planetary geology offers the possibility of a first approach to this new and rapidly growing field of application of the geosciences.\nAn agreement with the Department of Geosciences of the Goethe-University Frankfurt allows meritorious students of the Earth Dynamics study track to study in Frankfurt for a whole semester.\nAll topics covered by different courses of the two study tracks are further developed in the degree thesis, which takes up the entire second semester of the second year of the course. Internships in private companies, public agencies and research centers are envisaged, with the purpose of allowing the students to get in touch with the real world of work and research, in Italy and abroad. The Department of Geosciences of the University of Padova benefits of a consolidated network of collaborations with universities, research organizations, companies, public agencies dedicated to the administration of the territory, as well as with the Italian Professional Association of Geologists (Ordine nazionale dei Geologi).\n\nOccupational opportunities\nThe graduates of the Master's Degree in Environmental Geology and Earth Dynamics can work as freelance professional geologist in Italy, after passing the ‘Esame di Stato' and subsequent enrollment in the 'section A' of the register of the Italian Professional Association of Geologists (Ordine nazionale dei Geologi).\nShe/he can find highly qualified jobs, including managerial roles, in geological survey companies and engineering companies, in large companies in the energy, mining and construction sectors, in analysis and research laboratories, in local, national and international, public and private bodies and organizations, in Italy and abroad.\nGraduates who have sufficient credits in appropriate groups of sectors will be able to participate in the admission tests for teaching in the Italian secondary school system, according to current legislation.",LM-74 - Geology,Not mentioned.
Geophysics For Natural Risks And Resources,Second cycle degree D.M. 270/2004,SC2543,2020/21,2020/21,Not mentioned.,Not mentioned.,Padova,English,Common track (The data are currently being defined),"Regulations Rector's decree and regulations, issued on 16/05/2022 with RD n. 2003/2022 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe Master's course in Geophysics for Natural Risks and Resources has the main goal of educating professionals and researchers capable of approaching in a multi-disciplinary manner the theory and applications of physical methodologies for the exploration and characterization of the subsoil. This exploration can take place ad different spatial scales, from meters to tens and hundreds of kilometers, with aims spanning a large number of application and theoretical areas where the knowledge of soil and subsoil is crucial, such as:\n- Search for mining and energy resources\n- Subsoil characterization for renewable energies such as geothermal energy\n- Non invasive techniques for civil and environmetnal engineering, including geotechnical applications\n- Engineering geology characterization with specific attention to hillslope stability and hydrological risks in general.\n- Characterization for seismic risk both at global (fault presence and nature) and local (amplification mechanisms) scales.\n- Application to built structures, with specific reference to the historical buildings, foundations and soil-structure interactions.\n- Applied Geodesy to study Earth's dynamics\nThe offer of courses has been constructed with two goals in mind: (i) educating professionals in the geophysical sector with a wide and solid quantitative background, thus capable of accessing a number of careers in industry and research; (ii) attracting students from different backgrounds and produce graduates with a fluid interaction with the international geophysical community.\nIn order to satisfy the requirements of the job environment, two majors are foreseen:\n(a) a computational specialization, tentatively directed towards large scale geophysical applications (e.g. 3D and 4D seismics) with a predominant role in mining and energy subsoil exploration, bit also for satellite applications.\n(b) a field specialization, with applications directed towards the management of natural resources and environmental and engineering disciplines, with the aim of educating independent professionals.\n\nOccupational opportunities\nThe graduate in Geophysics for Natural Risks and Resources will find job opportunities mainly as:\n- Exploration Geophysicist\n- Applied and Environmental Geophysicist\nIn all cases, the graduate can access the regulated profession of Geologist. Also, the graduate can access a research career in Earth Sciences, and to this end the students will be encouraged to continue their studies through Ph.D. both at the national and international levels.\nFor the Exploration Geophysicist the main job opportunities will be as a high level employee in the private sector, with competences and responsibilities in Earth Sciences, in particular in the fossile and renewable energy industries, where geophysical exploration is at the heart of the industrial practice.\nThe graduate will easy access jobs, also in the international markets, in large energy companies and service companies, as well as in large engineering companies operating at an international level for large construction works.\nFor the Engineering and Environmental Geophysicist the main job opportunities will be as an independent professional or a high level employee in the public or private sectors, with competences and responsibilities in Earth Sciences or in Enrvironmental Engineering. A typical area of application will be in the management of the territory, both in the public administration (local and regional governments, civil protection) and with private bodies. The access to the regulated profession of Senior Geologist is also a viable option. In this respect the graduate will be able to act as a consultant for a variety of industrial sectors, e.g. civil engineering companies but also insurance enterprises. The acquired competences particularly in the mitigation of natural risks (seismic and hydrological in particular) can be utilized for professional and consultant activities for local, national and international companies, also with reference to national and EU level projects.",LM-79 - Geophysics,Not mentioned.
International Cybersecurity And Cyberintelligence,Second cycle degree D.M. 270/2004,SC2739,2023/24,2023/24,Not mentioned.,Not mentioned.,Padova,English,Common track (The data are currently being defined),"Regulations Rector's decree and regulations, issued on 17/04/2023 with RD n. 1660/2023 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe Master's Degree Program in International Cybersecurity and Cyberintelligence is a joint program with the University of Granada (Spain), the University of Vilnius (Lithuania), and the University of Minho (Portugal), in which the skills and methodologies of the four institutions are coordinated in a transnational and transdisciplinary manner to train knowledgeable professionals and aware citizens in the field of information protection.\nThe course aims to train a new generation of cybersecurity and cyberintelligence specialists who will distinguish themselves from the traditional expert in the sector by their strong vocation for transnational collaboration and the sharing of skills, competences and information, as well as for the ability to manage cybersecurity in international environments and in relations between companies, organizations, governments and national and supranational security agencies.\n\nOccupational opportunities\nGraduates will easily find work within companies, organizations and agencies that provide cybersecurity products and services, or that make use of such products and services and have an internal structure dedicated to security management. Among the possible professional profiles are:\n• Chief Information Security Officer (CISO) manages an organization's security strategy and implementation to ensure adequate protection of information assets.\n• Cyber Incident Responder monitors the security status of the organization, manages incidents during attacks and ensures the continuous operation of information systems.\n• Cyber Threat Intelligence (CTI) Specialist collects, processes, analyzes data and information to produce and distribute intelligence reports useful to interested parties. by the attackers and their evolutions.\n• Cybersecurity Architect plans and designs security-by-design solutions (infrastructure, systems, assets, software, hardware and services) and cybersecurity controls.\n• Cybersecurity Implementer develops, distributes and manages information security solutions (systems, resources, software, controls and services) on infrastructures and products.\n• Cybersecurity Risk Manager Manages the organization's cybersecurity risks by aligning them with the organization's strategy. Develop, maintain and communicate risk management processes and reports.\n• Ethical Hacker / Penetration Tester Evaluate the effectiveness of security controls, reveal and exploit information security vulnerabilities, assessing their criticality if exploited by threat actors.",LM-66 - Computer systems safety,"Università di Granada (Spagna), Vilnius (Lituania), Minho (Portogallo)"
Marine Biology,Second cycle degree D.M. 270/2004,SC2596,2021/22,2021/22,Not mentioned.,Not mentioned.,Chioggia,English,Common track,"Regulations Rector's decree and regulations, issued on 29/05/2024 with RD n. 2151/2024 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe master degree goal is to form marine biologists with the knowledges needed for the conservation of biological resources and the management of fish stocks, for the sustainable use of marine resources, and for the development of methods and technologies for farming economically relevant commercial species.\nThe knowledges obtained during the three-years biology degree will be deepened with courses covering evolutionary processes, reproductive strategies, adaptation, morphological and functional plasticity, genetics, molecular biology and interaction between organisms and environment. After completion of the master, the student can sustain the Italian qualification test for being a professional biologist.\n\nOccupational opportunities\nThe formation obtained thanks to the Marine Biology master allows reaching leadership roles in public and private institutions devoted to the safeguard, enhancement and management of the marine environment, in laboratories performing marine ecotoxicology and seafood products' quality control, and in aquaculture plants. In addition, it will be possible to act as consultants in environmental impact assessments, in projects of responsible management of marine resources, and in projects of reproduction of economically relevant fish species, and to perform research in universities, public and private research institutions, marine biology stations, and experimental fish farms and industries.",LM-6 - Biology,Not mentioned.
Materials Science,Second cycle degree D.M. 270/2004,SC2740,2023/24,2023/24,Not mentioned.,Not mentioned.,Padova,English,"""Materials Science"" [003PD] ""Materials Science DD"" [004PD]","Regulations Rector's decree and regulations, issued on 17/04/2023 with RD n. 1660/2023 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe Master's degree aims at training high-skilled professionals in the research and development of innovative functional materials. The programme is strongly interdisciplinary (chemistry, physics, mathematics, engineering, geology) and versatile, offering both strong theoretical courses and applied research-oriented teaching. Students will be able to design, realise and characterise new materials and to exploit the acquired knowledge to develop devices for specific applications.\nThe fields of application include renewable energy, sustainable materials and processes, environmental-friendly technologies.\n\nOccupational opportunities\nGraduates can work both in industries and research institution (public and private) in R&D, in the exploitation and optimisation of industrial processes and methods, and in high technological companies as experts and consultants for advanced instruments and materials. Students can gain managing positions in private companies thanks to the high level of knowledge and versatility.",LM Sc.Mat. - Scienze dei materiali,Not mentioned.
Mathematics,Second cycle degree D.M. 270/2004,SC2651,2022/23,2022/23,Not mentioned.,Not mentioned.,Padova,English,"""ALGANT"" [001PD] ""Mathematics"" [002PD] ""MAPPA"" [003PD]","Regulations Rector's decree and regulations, issued on 16/05/2022 with RD n. 1999/2022 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThis master's degree offers a wide range of specializations in all fields of mathematics, pure and applied, and is enriched by the scientific and professional contacts established by the faculty of the 'Tullio Levi-Civita' Department of Mathematics. Different training paths are offered, and in each of them, formation tends to emphasize the methodological aspects in order to avoid the obsolescence of the acquired skills. The master's curriculum requires that all students acquire in-depth knowledge of current methodologies related to one or more specific areas of mathematics (presenting a personalized study plan fulfilling certain general requirements) and that they show the competence achieved through an extensive work for the redaction of the master's thesis. This final work represents almost a third of the overall commitment.\n\nOccupational opportunities\nThe professional opportunities for those who obtain the Master's Degree in Mathematics range from research, both in the public and private sectors, to dissemination and application of mathematics to team-working with professional figures from different fields, to contributing with specific expertise and methodology to the mathematical formalization and resolution of problems in economics or industrial applications. Their contribution is particularly sought for in areas that require familiarity with scientific methods of investigation and deep understanding of mathematical tools such as, for example, modeling and analysis of complex systems. Mathematicians, thanks to their training, have the ability to face problems in a logical, analytical and creative way and have great adaptability and flexibility towards new ideas.\nTypical areas of employment, in addition to education in secondary schools and research at Universities and public or private centers, are financial, banking, insurance organizations, and in general whenever good skills are required for the development of models and big data analytics.",LM-40 - Mathematics,Not mentioned.
Molecular Biology,Second cycle degree D.M. 270/2004,SC2445,2018/19,2020/21,Not mentioned.,Not mentioned.,Padova,English,"""MOLECULAR BIOLOGY"" [005PD] ""GENETIQUE MOLECULAIRE"" [006PD] ""INTEGRATIVE PLANT BIOLOGY"" [008PD] ""BIOENERGETICS AND METABOLISM"" [009PD]","Regulations Rector's decree and regulations, issued on 25/05/2022 with RD n. 2122/2022 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe Master's degree completes the training in the field of biological sciences which began with the bachelor's degree in Molecular Biology. The aim of this Master degree course is to shape experts with an advanced practical training in the field of Molecular Biology together with an in-depth knowledge of instrument operation, analytical procedures and the methodology involved in data acquisition and analysis. The degree course imparts a thorough command of the scientific investigation process, providing graduates with the competence to work independently and to take on the responsibility of projects and/or organizations. During the first year the proposed curriculum consists in foundational courses, which constitute the key cultural elements required for an in depth understanding of modern molecular biology. In the second year approximately two thirds of the students' activity are devoted to the preparation of an experimental thesis. The intention being that of endowing the student, by means of an important experience entailing experimental work in a laboratory, with crucial cultural resources and the capacity to engage in critical analysis, which are fundamental to conducting research or to undertaking the responsibility of projects and/or organizations.\n\nOccupational opportunities\nThe Master's degree in Molecular Biology qualifies to engage in research activity within public or private organizations, with particular reference to industries in the pharmaceutical, agro-industrial and biotechnological realms. The Master's graduate may be employed in professional project activities or in counseling within the public administration, in the human health or public hygiene divisions.\nOn passing the relevant State examination, the Molecular Biology Master's graduate may enroll in the Biologists' professional register (section A), which entitles to the warranted activities, under the title of Biologist.",LM-6 - Biology,Not mentioned.
Physics,Second cycle degree D.M. 270/2004,SC2382,2017/18,2024/25,Not mentioned.,Not mentioned.,Padova,English,"""PHYSICS OF THE FUNDAMENTAL INTERACTIONS"" [001PD] ""PHYSICS OF MATTER"" [002PD] ""NuPhys - NUCLEAR PHYSICS"" [004PD] ""INTERDISCIPLINARY PHYSICS"" [005PD]","Regulations Rector's decree and regulations, issued on 05/06/2023 with RD n. 2330/2023 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe program deepens the knowledge of basic elements of modern physics (atomic and molecular physics, solid state physics, nuclear and particle physics) and of theoretical physics (analytical mechanics, quantum mechanics, mathematical and numerical methods). It is possible to strengthen the knowledge of specific fields like biophysics, nanoscience, physics of matter, nuclear and particle physics, physics of the fundamental interactions. Finally, the program provides direct experience of the laboratory techniques and computer calculation techniques and data analysis.\nThe graduate in Physics will know and understand the most relevant phenomena of the physical world at different scales, starting from the macroscopic world down to the atomic physics, the physics of condensed matter, nuclear and subnuclear physics up to the physics of the universe. The understanding of the physical world will be based on experimental evidence and a proper use of the theoretical modelling and its mathematical instruments, including numerical techniques.\n\nOccupational opportunities\nJobs opportunities in Italy and abroad come from industries involving new technologies regardless of the final products, in service companies aiming to innovation and, more generally, in all activities requiring understanding and modelling of processes and ability in analysis and testing. These include startups and high tech industries, software and consulting companies, research centers and public administration.\nGraduates can be employed in all areas where advanced skills are required in the acquisition, monitoring and analysis of data, scientific dissemination and training in the scientific and specialist physics fields. They may be employed in the sector of quality control, health and environment, patenting, safety, radiation protection, also with the development of advanced programming codes for data analysis. Furthermore, they will be able to carry out research activities in research laboratories of universities, research centers as well as companies.",LM-17 - Physics,Not mentioned.
Physics Of Data,Second cycle degree D.M. 270/2004,SC2443,2018/19,2018/19,Not mentioned.,Not mentioned.,Padova,English,Common track,"Regulations Rector's decree and regulations, issued on 10/06/2020 with RD n. 1900/2020 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe program intends to build an academic and professional figure that combines advanced knowledge in the field of Physics with a high-level training in Data Science.\nThe modeling and the theoretical interpretation of complex natural phenomena from large amounts of data are at the core of the research in Physics. The Big Data revolution presents in this sense the challenges and opportunities for the physicist of today. In addition to the figure of Data Scientist, specialized purely in the analysis of large amounts of data, it is increasingly clear the need to also train figures able to develop the methods and techniques that are fundamental for such analysis - in this sense we named the program of Physics of the Data. Training in Physics, Mathematics and Computation is increasingly necessary to generate such innovation and development. The program will thus train a new generation of physicists, which we could define as 'data physicists', equipped with tools that will allow them to face the challenges that the digital revolution has brought in our society .\n\nOccupational opportunities\nGraduates will have jobs opportunity in Italy and abroad in:\n- academic institutions;\n- research centers;\n- internet companies, consulting companies;\n- startups and high tech industries;\n- public administrations.",LM-17 - Physics,Not mentioned.
Quantitative And Computational Biosciences,Second cycle degree D.M. 270/2004,SC2804,2024/25,2024/25,Not mentioned.,Not mentioned.,Padova,English,Common track,"Regulations Rector's decree and regulations, issued on 29/05/2024 with RD n. 2134/2024 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nWith the steady advancement of computational and analytical tools, all branches of Biological sciences are being swamped with a deluge of data that is calling out for analyst professionals. The QuaCBio Master's degree combines courses from the biological and hard science realms, with a strong emphasis on hands-on bioinformatic trainings. Through this approach, students with a comprehensive STEM background are expected to get together and cross-contaminate when dealing with Big Data in omics, evolution, ecology and physiology and become the next generation of Computational Biologists.\n\nOccupational opportunities\nGraduates work as Bioinformaticians, Data Scientists within the Biology realm, Big Data and Complex system analysts, Developer of novel analytical methods in Biology.",LM-6 R - Biologia,Not mentioned.
Statistical Sciences,Second cycle degree D.M. 270/2004,SS1736,2009/10,2014/15,Not mentioned.,Not mentioned.,Padova,Italian,Common track,"Regulations Rector's decree and regulations, issued on 15/05/2023 with RD n. 2043/2023 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe program is aimed at shaping students highly skilled in the field of data science, statistical analysis anche data management with sound expertise both on technical and substantive side. Graduated students are able to apply statistical theories and techniques for collecting, analysing and summarizing information, in order to give interpretative models of data, identify solutions to adopt in all the sectors of service and goods production, and increase the scientific knowledge.\nThe program makes the student achieve a sound double learning core: one focused on applied mathematics and statistics, and the other focused on statistical methods and models with applications to several fields. On these cores, a specialistic formation is built, characterised by further methodological, computational, applied skills, with applications in business, social and demographic sciences, technology and biostatistics.\n\nOccupational opportunities\nGraduates are employed in several fields of production system, in public administration and research institutes. Con These competences are required in different functional such as data science, strategic marketing, market analysis, sales forecasting, research and development, decision support, planning and controllino, management of information system, industial politics analysis, financial support, analysis of financial markets and of investiments portfolios, the quality control, the evaluation of customer satisfaction, demographic forecasts.",LM-82 - Statistics,Not mentioned.
Sustainable Chemistry And Technologies For Circular Economy,Second cycle degree D.M. 270/2004,SC2590,2021/22,2021/22,Not mentioned.,Not mentioned.,Padova,English,"""RESOURCES AND PRODUCT DESIGN AND RECYCLING"" [001PD] ""ENERGY CONVERSION AND STORAGE"" [002PD]","Regulations Rector's decree and regulations, issued on 15/05/2023 with RD n. 2042/2023 Annex 1 General description of educational activities Annex 2 Study progression and proposed educational activities (course units, contact hours, credits, relevant subject areas, teaching-learning methodology, etc.)","Characteristics and objectives\nThe master's degree programme in Sustainable Chemistry and Technologies for Circular Economy provides an in-depth and highly interdisciplinary programme for professionals to be employed in companies or public bodies that apply a circular economy model to the production of goods and services. The course, which is held in English, will provide students with an understanding of the entire value chain on which the circular economy model is based. Particular attention will be placed on scientific-technical competencies and skills (especially with regard to the chemical sector), which will be complemented by economic, management, legal, psycho-social and statistical knowledge. Whereas the first year is common to all students, during the second year it is possible to choose between two different paths, namely Energy conversion and storage and Resources and product design and recycling, with the former focusing on energy-related topics (such as energy conversion and storage) and the latter focusing on the design of products and materials fostering circularity.\nStudents who wish to enrol must either hold a degree or university diploma of three years' duration or foreign equivalent deemed suitable for admission purposes as per existing regulation. They must also possess specific curricular requirements and have a B2 English level (reading and comprehension and listening).\nIn relation to internationalization, the programme will host foreign professors and qualified experts from international companies and institutions. Further initiatives include the participation in the Erasmus+ programme and the promotion of the programme to international students.\n\nOccupational opportunities\nUpon completion of the master's degree, graduates are ready to enter the work force, possibly after passing of a national examination and registering with the 'Chemical and physical professionals' association. Graduates of the programme may be employed as i) Corporate Social Responsibility manager or ii) Circular Economy manager. The latter will be responsible, among other things, for communication with the various departments of a company so as to bring together all of the components of the value chain (resource procurement and supply, product design and production, recycling, waste management, integrated logistics). Furthermore, graduates may work as both external and internal consultants for companies.",LM-71 - Industrial chemistry,Not mentioned.
